TITLE = "Example : Job-real_large_freq_element384"
VARIABLES="NODE_ID"       "U1"           "U2"           "U3"          "E11"          "E22"          "E33"          "E12"          "E13"          "E23"          "S11"          "S22"          "S33"          "S12"          "S13"          "S23"
             24   1.360811E-01   2.703836E-03   6.890671E-05   1.066166E-08  -1.122546E-08  -9.494955E-09  -3.336729E-09  -2.786037E-08  -4.807481E-11   1.726663E-04  -1.039543E-03  -9.436999E-04  -9.240173E-05  -7.715180E-04  -1.331302E-06
             25   1.334234E-01  -1.899458E-03   4.396887E-05   9.802055E-06  -3.865799E-07  -8.990747E-06  -6.765833E-07   2.891485E-07  -3.435534E-06   1.176719E+00   1.670877E-01  -6.811814E-01  -4.136453E-02   1.574857E-02  -1.497700E-01
             26   1.334495E-01  -2.061428E-03  -1.199060E-06  -6.991407E-08  -1.109210E-06   6.008250E-06  -2.981009E-07   1.774352E-06   2.704138E-06   1.967223E-01   1.391613E-01   5.333591E-01  -8.255102E-03   4.913591E-02   7.488382E-02
             27   1.335586E-01  -2.070435E-03   2.831535E-05  -1.459824E-06  -1.947589E-06   2.716183E-08  -3.465277E-07  -2.434914E-06  -2.984331E-06  -2.212622E-01  -2.482769E-01  -1.389061E-01  -9.596152E-03  -6.742839E-02  -8.264302E-02
             28   1.335467E-01  -1.909923E-03   1.205543E-04   2.824843E-06  -1.960258E-06   1.287903E-06   2.688517E-07   4.813764E-06  -1.791664E-06   2.458639E-01  -1.915709E-02   1.607411E-01   7.445125E-03   1.333042E-01  -4.961532E-02
             29   1.331698E-01  -1.912917E-03  -6.029447E-05  -1.209717E-07  -1.736900E-06  -9.870928E-08   2.113436E-06   3.559341E-06   2.662305E-06  -8.797335E-02  -1.774709E-01  -8.674036E-02   5.852591E-02   9.856636E-02   7.372536E-02
             30   1.333281E-01  -1.914962E-03  -6.333216E-06  -2.347231E-06   6.531244E-07   3.437694E-06   5.281467E-07   5.167336E-07   4.197683E-07  -5.757454E-02   1.085990E-01   2.628213E-01   1.462560E-02   1.430955E-02   1.162435E-02
             31   1.333525E-01  -1.698722E-03   1.405633E-04   2.181060E-06   3.787081E-06  -3.288806E-06   2.074087E-06   3.767920E-06  -3.927372E-06   2.320926E-01   3.210415E-01  -7.085376E-02   5.743626E-02   1.043424E-01  -1.087580E-01
             32   1.331987E-01  -1.732243E-03   1.250249E-05  -2.318665E-05   1.967062E-06   3.784894E-05   5.968087E-08   1.194309E-05  -7.718553E-06  -7.630449E-01   1.907033E+00   7.227199E+00  -2.447220E-02   6.065835E-01  -5.104723E-01
             33   1.358042E-01  -2.301111E-03  -4.525941E-05   1.722807E-07  -1.193087E-08  -2.250862E-07  -4.575772E-08   8.317501E-08   2.422940E-08   1.427025E-02  -3.864301E-03  -2.935288E-02  -1.657254E-03   3.257411E-03   5.729979E-04
             34   1.358044E-01  -2.495940E-03  -5.326444E-05  -4.915200E-08   1.379813E-08  -5.713920E-09  -9.726152E-09   5.792309E-08  -3.622448E-08  -4.428158E-03  -9.416890E-04  -2.022356E-03  -2.693396E-04   1.604024E-03  -1.003139E-03
             35   1.359433E-01  -2.495943E-03  -4.304698E-05  -1.803773E-08  -1.356904E-08   2.568289E-09   2.395406E-08   4.069259E-08   6.096873E-09  -2.205227E-03  -1.957730E-03  -1.063970E-03   6.633433E-04   1.126872E-03   1.688365E-04
             36   1.359430E-01  -2.301428E-03  -3.449224E-05   4.212006E-08  -5.563368E-08  -6.718136E-08  -2.204694E-08  -6.072808E-09  -2.015491E-08  -1.019142E-03  -6.433196E-03  -7.072759E-03  -6.105307E-04  -1.681701E-04  -5.581359E-04
             37   1.357782E-01  -2.456819E-03  -5.325356E-05  -5.205727E-08   1.292493E-08   4.626012E-09   1.808148E-08   9.251964E-08   4.193792E-08  -4.316512E-03  -7.174973E-04  -1.177130E-03   5.007178E-04   2.562082E-03   1.161358E-03
             38   1.359180E-01  -2.456678E-03  -4.320159E-05  -2.441599E-08   3.529607E-08   1.289215E-08   1.654319E-08  -5.212002E-08  -5.602393E-08  -3.648081E-04   2.942322E-03   1.701489E-03   4.581192E-04  -1.443324E-03  -1.551432E-03
             39   1.359182E-01  -2.261271E-03  -3.320626E-05   3.198611E-08   2.355172E-08  -6.141752E-08   1.363549E-08   9.536873E-09  -2.887255E-08   1.527305E-03   1.060170E-03  -3.645819E-03   3.775981E-04   2.640980E-04  -7.995476E-04
             40   1.357789E-01  -2.261731E-03  -4.222377E-05  -2.232793E-07   1.128747E-07   9.661300E-08  -5.217534E-09   1.424464E-08  -2.545236E-07  -1.725544E-02   1.657872E-02   3.042733E-02  -3.196369E-04   3.679726E-03  -1.208946E-02
             41   1.360999E-01  -2.483478E-03  -5.933211E-05   3.399268E-08  -3.875378E-09  -1.972636E-08  -2.926645E-08   3.698867E-09   5.593420E-09   3.973836E-03   8.796816E-04  -6.448017E-04  -1.091261E-03   4.269898E-05   2.353233E-04
             42   1.360999E-01  -2.693420E-03  -6.571276E-05  -8.188474E-09   4.443490E-11  -1.127641E-08  -3.258548E-09   1.662487E-08  -1.203025E-08  -1.260211E-03  -8.042344E-04  -1.431235E-03  -9.023670E-05   4.603810E-04  -3.331454E-04
             43   1.362498E-01  -2.693417E-03  -5.772371E-05  -6.530827E-09  -4.780765E-10   2.301800E-09   7.688566E-09   9.962770E-09  -1.863016E-10  -5.572332E-04  -2.220039E-04  -6.804154E-05   2.129141E-04   2.758921E-04  -5.159122E-06
             44   1.362498E-01  -2.483541E-03  -5.148349E-05   1.955151E-11  -1.288860E-08  -2.821926E-08  -2.678988E-09  -1.463764E-08   1.266305E-08  -1.705662E-03  -2.420575E-03  -3.269658E-03  -7.418736E-05  -4.053501E-04   3.506690E-04
             45   1.360813E-01  -2.661984E-03  -6.569442E-05  -1.026955E-08   1.077598E-08   9.442923E-09  -3.382146E-09   2.586886E-08  -2.430065E-10  -1.554942E-04   1.010105E-03   9.362736E-04  -9.365942E-05   7.163685E-04  -6.729411E-06
             46   1.362315E-01  -2.661931E-03  -5.770370E-05  -1.477243E-09   9.461282E-09  -4.303174E-09  -5.974212E-10  -1.115014E-08  -1.852645E-08   7.108097E-05   6.769070E-04  -8.543212E-05  -1.654397E-05  -3.087730E-04  -5.130400E-04
             47   1.362315E-01  -2.451840E-03  -5.108942E-05   2.026906E-08  -2.614724E-09  -1.118750E-08  -2.620599E-09  -1.033621E-08   5.462092E-09   1.391217E-03   1.238069E-04  -3.509930E-04  -7.257044E-05  -2.862335E-04   1.512579E-04
             48   1.360815E-01  -2.451884E-03  -5.855555E-05  -2.815304E-08   2.650071E-08  -4.347232E-08   5.631420E-09  -3.812088E-08  -4.831033E-08  -5.269262E-03   2.927062E-04  -5.825610E-03   2.590592E-04  -1.254884E-03  -1.856255E-03
             49   1.357786E-01  -2.177479E-03  -3.686153E-05   2.465936E-07   8.995747E-08  -8.301785E-07   9.817753E-08  -2.594969E-07   5.755461E-08  -1.396877E-02  -3.648957E-02  -1.572485E-01   3.071274E-03  -1.099655E-02   1.283643E-04
             50   1.357893E-01   2.229832E-03   4.618948E-05  -3.289106E-09   1.510968E-09   8.225241E-08   8.876668E-08   9.036420E-08   7.954501E-08   6.471251E-03   3.763777E-03   1.106068E-02   3.910186E-03   4.839620E-03   1.008605E-03
             51   1.359276E-01   2.230057E-03   3.832828E-05  -1.158523E-07   4.255793E-08   4.729147E-08  -4.117884E-08   4.528314E-08   8.625867E-08  -7.496555E-03   1.276934E-03   1.539100E-03  -1.140337E-03   1.253995E-03   2.388702E-03
             52   1.359183E-01  -2.177629E-03  -2.960645E-05  -5.939660E-08  -5.661209E-08  -3.992670E-10   8.161912E-09  -1.493641E-07   5.646867E-08  -8.125065E-03  -7.970846E-03  -4.857521E-03   2.260222E-04  -4.136236E-03   1.563748E-03
             53   1.357978E-01   2.264878E-03   4.792954E-05  -3.009048E-08  -3.567414E-08   1.224335E-08  -9.253524E-08   1.706486E-08   5.387497E-08  -7.319529E-03  -8.806941E-03  -7.391666E-03  -3.224946E-03   1.089537E-03   1.867990E-03
             54   1.359365E-01   2.264771E-03   3.920393E-05   3.179829E-08  -2.956005E-09   4.027370E-08  -3.853287E-08   3.810111E-09   6.938820E-08   4.632107E-03   2.707254E-03   5.101515E-03  -1.067064E-03   1.055108E-04   1.921520E-03
             55   1.359430E-01  -2.217979E-03  -3.096757E-05   8.082234E-08  -5.640800E-10  -1.357132E-07   4.303667E-08  -4.681863E-08   3.751856E-08   2.172800E-03  -2.334755E-03  -9.819938E-03   1.191785E-03  -1.296516E-03   1.038975E-03
             56   1.358040E-01  -2.217952E-03  -4.112810E-05   1.345371E-08  -1.269651E-09  -1.904404E-08  -5.471190E-08   3.293467E-08  -7.777064E-08  -4.980026E-03  -2.251340E-03  -3.068037E-03  -2.011084E-03   1.076057E-03  -3.381370E-03
             57   1.331998E-01  -1.594425E-03   2.052670E-04   1.759810E-05   2.239437E-06  -4.119032E-05   1.312896E-06  -1.285429E-05  -5.790543E-06  -1.242315E-02  -2.027914E+00  -8.214248E+00   1.052510E-02  -6.333970E-01  -4.098590E-01
             58   1.331183E-01   1.649380E-03  -2.994273E-04  -1.222887E-05  -4.530479E-06   3.567221E-05  -2.057522E-06   1.101283E-05  -7.660396E-06   1.866727E-01   1.639116E+00   7.483107E+00  -1.493685E-01   5.443567E-01  -4.634314E-01
             59   1.333206E-01   1.646851E-03  -3.126943E-04   1.246816E-05   1.194407E-06  -5.323785E-06  -5.227531E-06   4.284563E-06  -4.833512E-06   1.036925E+00   4.125321E-01   5.152447E-02  -1.447624E-01   1.186494E-01  -1.338511E-01
             60   1.333598E-01  -1.604574E-03   1.798657E-04  -6.554053E-06  -2.080481E-06   1.203701E-06   7.420596E-07  -4.798014E-06  -1.754242E-06  -6.716590E-01  -4.238920E-01  -2.419988E-01   2.054934E-02  -1.328681E-01  -4.857902E-02
             61   1.346005E-01   1.927335E-03  -1.731155E-04  -2.994706E-05   1.343407E-05   6.765062E-06   2.333748E-06  -4.504411E-06   4.985149E-06  -3.065345E+00   5.502370E-01   1.760641E-01   2.142650E-01  -2.409531E-01   1.791607E-01
