TITLE = "Example : C3D8_ne1_P"
VARIABLES="NODE_ID"       "U1"           "U2"           "U3"          "E11"          "E22"          "E33"          "E12"          "E13"          "E23"          "S11"          "S22"          "S33"          "S12"          "S13"          "S23"
              1   0.000000E+00   0.000000E+00   0.000000E+00   7.177717E-23  -8.135488E-06  -2.770129E-22  -1.644416E-06   1.644416E-06   1.554339E-22  -9.856456E-01  -2.299840E+00  -9.856456E-01  -1.328182E-01   1.328182E-01   2.154125E-17
              2  -6.577664E-06  -1.627098E-05   6.577664E-06   2.859034E-23   1.488095E-06   1.298335E-22  -8.280896E-07   8.816610E-07  -5.473273E-23   1.802885E-01   4.206731E-01   1.802885E-01  -6.688416E-02   7.121108E-02  -4.717585E-18
              3   0.000000E+00   0.000000E+00   0.000000E+00   5.904636E-23   1.488095E-06   1.331803E-22  -8.816610E-07   8.280896E-07  -2.334120E-23   1.802885E-01   4.206731E-01   1.802885E-01  -7.121108E-02   6.688416E-02  -7.440968E-19
              4  -3.312358E-06   2.976190E-06   3.526644E-06   9.727997E-23   8.259637E-07  -2.614563E-25  -1.126559E-06   1.126559E-06   4.890588E-23   1.000687E-01   2.334936E-01   1.000687E-01  -9.099130E-02   9.099130E-02   3.985612E-18
              5   0.000000E+00   0.000000E+00   0.000000E+00   1.525510E-06  -8.135488E-06   1.525510E-06   3.167375E-06  -3.167375E-06  -1.632653E-06  -3.695742E-01  -1.930197E+00  -3.695742E-01   2.558265E-01  -2.558265E-01  -1.318681E-01
              6  -3.526644E-06   2.976190E-06   3.312358E-06  -5.969388E-07   1.488095E-06   1.525510E-06  -1.159155E-06  -3.930130E-06  -5.714286E-07   1.963599E-01   5.331731E-01   5.392170E-01  -9.362408E-02  -3.174336E-01  -4.615385E-02
              7   0.000000E+00   0.000000E+00   0.000000E+00   1.525510E-06   1.488095E-06  -5.969388E-07   3.930130E-06   1.159155E-06  -5.714286E-07   5.392170E-01   5.331731E-01   1.963599E-01   3.174336E-01   9.362408E-02  -4.615385E-02
              8  -4.506236E-06   1.651927E-06   4.506236E-06  -5.969388E-07   8.259637E-07  -5.969388E-07  -1.457625E-06   1.457625E-06   4.897959E-07  -1.410027E-01   8.885073E-02  -1.410027E-01  -1.177312E-01   1.177312E-01   3.956044E-02

