TITLE = "Example : Job-C3D8-cantilever-beam-rho7800-dyna"
VARIABLES="NODE_ID"       "U1"           "U2"           "U3"          "E11"          "E22"          "E33"          "E12"          "E13"          "E23"          "S11"          "S22"          "S33"          "S12"          "S13"          "S23"
             24   9.634778E-02  -1.012724E-01   3.413738E-15   1.021939E-02  -1.451918E-03  -3.160630E-03   3.525770E-05  -1.897354E-18   2.118434E-16   2.330116E+03   4.447502E+02   1.687275E+02   2.847737E+00  -1.492140E-13   1.711076E-11
             25  -9.635768E-02  -9.325625E-02  -1.580315E-02  -1.000454E-02   1.395979E-03   3.160630E-03   6.929079E-05   7.787005E-04   1.628739E-05  -2.276157E+03  -4.345339E+02  -1.494749E+02   5.596564E+00   6.289504E+01   1.315520E+00
             26  -1.331966E-15  -8.627636E-02  -1.418440E-15  -1.077560E-16   2.694242E-17   2.553134E-17  -8.780001E-06   8.066701E-04  -1.201032E-17  -2.376765E-11  -2.287948E-12  -2.444267E-12  -7.091540E-01   6.515412E+01  -9.699201E-13
             27   9.635768E-02  -9.325625E-02   1.580315E-02   1.000454E-02  -1.395979E-03  -3.160630E-03   6.929079E-05   7.787005E-04  -1.628739E-05   2.276157E+03   4.345339E+02   1.494749E+02   5.596564E+00   6.289504E+01  -1.315520E+00
             28  -1.466300E-01  -2.150370E-01   1.567550E-02  -1.006525E-02   1.502226E-03   3.135100E-03  -1.517941E-05  -7.858929E-04  -2.540591E-06  -2.283539E+03  -4.149467E+02  -1.511748E+02  -1.226029E+00  -6.347597E+01  -2.052015E-01
             29   3.644650E-16  -2.075259E-01  -2.326386E-15  -3.182456E-17   3.838076E-17   1.649222E-17   6.592814E-06  -7.798960E-04  -1.288136E-17  -2.366107E-12   8.853362E-12   5.449863E-12   5.324965E-01  -6.299160E+01  -1.040414E-12
             30   1.466300E-01  -2.150370E-01  -1.567550E-02   1.006525E-02  -1.502226E-03  -3.135100E-03  -1.517941E-05  -7.858929E-04   2.540591E-06   2.283539E+03   4.149467E+02   1.511748E+02  -1.226029E+00  -6.347597E+01   2.052015E-01
             31  -1.466656E-01  -2.228536E-01  -9.434222E-15  -1.006589E-02   1.490232E-03   3.135100E-03  -3.098762E-06  -7.860466E-19  -2.378384E-16  -2.285172E+03  -4.184144E+02  -1.527050E+02  -2.502846E-01  -7.283063E-14  -1.920999E-11
             32  -7.022159E-16  -2.154024E-01  -2.410829E-15  -4.830792E-17   3.523657E-19   1.655907E-17   5.125653E-06   5.827587E-19  -1.376052E-17  -1.140776E-11  -3.524292E-12  -9.308110E-13   4.139950E-01   5.417888E-14  -1.111440E-12
             33   1.466656E-01  -2.228536E-01   4.574633E-15   1.006589E-02  -1.490232E-03  -3.135100E-03  -3.098762E-06  -3.306817E-18   2.053352E-16   2.285172E+03   4.184144E+02   1.527050E+02  -2.502846E-01  -2.629008E-13   1.658472E-11
             34  -1.466300E-01  -2.150370E-01  -1.567550E-02  -1.006525E-02   1.502226E-03   3.135100E-03  -1.517941E-05   7.858929E-04   2.540591E-06  -2.283539E+03  -4.149467E+02  -1.511748E+02  -1.226029E+00   6.347597E+01   2.052015E-01
             35  -1.777529E-15  -2.075259E-01  -2.493580E-15  -7.043406E-17   4.342230E-17   1.698430E-17   6.592814E-06   7.798960E-04  -7.977026E-18  -1.251266E-11   5.869083E-12   1.492140E-12   5.324965E-01   6.299160E+01  -6.443376E-13
             36   1.466300E-01  -2.150370E-01   1.567550E-02   1.006525E-02  -1.502226E-03  -3.135100E-03  -1.517941E-05   7.858929E-04  -2.540591E-06   2.283539E+03   4.149467E+02   1.511748E+02  -1.226029E+00   6.347597E+01  -2.052015E-01
             37  -1.970102E-01  -3.868198E-01   1.568119E-02  -1.007252E-02   1.483068E-03   3.136237E-03   2.392101E-06  -7.835502E-04   9.617360E-09  -2.287776E+03  -4.211049E+02  -1.540545E+02   1.932082E-01  -6.328674E+01   7.767868E-04
             38   8.632456E-17  -3.794045E-01  -3.660135E-15  -6.381065E-17   4.548228E-17   9.816427E-18  -1.621042E-06  -7.844241E-04  -1.672339E-17  -1.139711E-11   6.153300E-12   4.192202E-13  -1.309303E-01  -6.335733E+01  -1.350723E-12
